"Rank","Player","Team","Position","Points","Games","Avg"
"494","Stephen Sullivan","CAR","TE","6.6","4","1.7"
"494","Tyler Davis","GB","TE","6.6","7","0.9"
"497","Trestan Ebner","CHI","RB","6.2","7","0.9"
"498","Anthony McFarland Jr.","PIT","RB","6.1","1","6.1"
"499","Dominik Eberle","DET","K","6.0","1","6.0"
"500","Trayveon Williams","CIN","RB","5.9","3","2.0"
"501","Grant Calcaterra","PHI","TE","5.8","3","1.9"
"502","Cole Beasley","TB","WR","5.7","2","2.9"
"503","Ben Ellefson","MIN","TE","5.6","2","2.8"
"504","Kendall Blanton","LAR","TE","5.5","2","2.8"
"504","Dwayne Washington","NO","RB","5.5","7","0.8"
"506","Ryan Griffin","CHI","TE","5.4","7","0.8"
"506","Simi Fehoko","DAL","WR","5.4","3","1.8"
"508","D'Ernest Johnson","CLE","RB","5.4","7","0.8"
"509","Montrell Washington","DEN","WR","5.3","11","0.5"
"510","Tylan Wallace","BAL","WR","5.1","5","1.0"
"511","Chris Evans","CIN","RB","5.0","8","0.6"
"511","Amari Rodgers","GB","WR","5.0","10","0.5"
"513","Jesper Horsted","LV","TE","4.9","5","1.0"
"514","Jaelon Darden","TB","WR","4.8","11","0.4"
"515","Jalen Nailor","MIN","WR","4.8","4","1.2"
"515","Tyrie Cleveland","DEN","WR","4.8","5","1.0"
"517","Tim Jones","JAC","WR","4.7","5","0.9"
"518","Zamir White","LV","RB","4.7","7","0.7"
"519","Luke Farrell","JAC","TE","4.6","2","2.3"
"519","Jordan Mason","SF","RB","4.6","6","0.8"
"521","Bryan Edwards","ATL","WR","4.5","4","1.1"
"521","Trace McSorley","ARI","QB","4.5","2","2.3"
"523","Ronald Jones II","KC","RB","4.4","1","4.4"
"523","Dezmon Patmon","IND","WR","4.4","1","4.4"
"525","Brycen Hopkins","LAR","TE","4.3","3","1.4"
"526","Cole Turner","WAS","TE","4.3","5","0.9"
"527","Mike Davis","BAL","RB","4.2","5","0.8"
"528","Ke'Shawn Vaughn","TB","RB","4.2","5","0.8"
"529","Michael Woods II","CLE","WR","4.1","3","1.4"
"529","Andy Isabella","ARI","WR","4.1","2","2.1"
"531","Kyle Rudolph","TB","TE","4.0","4","1.0"
"531","Lil'Jordan Humphrey","NE","WR","4.0","4","1.0"
"531","Tony Jones Jr.","Multi","RB","4.0","1","4.0"
"534","Keith Kirkwood","NO","WR","3.8","2","1.9"
"534","Michael Burton","KC","RB","3.8","8","0.5"
"536","Tyrion Davis-Price","SF","RB","3.7","2","1.9"
"537","KaVontae Turpin","DAL","WR","3.6","11","0.3"
"537","Jakob Johnson","LV","RB","3.6","8","0.5"
"537","Dennis Houston","DAL","WR","3.6","2","1.8"
"540","Tyler Kroft","SF","TE","3.5","2","1.8"
"540","Quintez Cephus","DET","WR","3.5","3","1.2"
"542","Nick Vannett","NO","TE","3.3","2","1.7"
"543","Jalen Tolbert","DAL","WR","3.2","3","1.1"
"544","Sean McKeon","DAL","TE","3.1","2","1.6"
"545","Josh Lambo","TEN","K","3.0","1","3.0"
"546","Jarrett Stidham","LV","QB","2.9","1","2.9"
"547","J.J. Taylor","NE","RB","2.7","1","2.7"
"547","Juwann Winfree","GB","WR","2.7","3","0.9"
"549","Mason Schreck","HOU","TE","2.6","2","1.3"
"550","Penny Hart","SEA","WR","2.5","1","2.5"
"551","Tyrod Taylor","NYG","QB","2.4","2","1.2"
"552","Marlon Mack","Multi","RB","2.2","3","0.7"
"553","Nick Mullens","MIN","QB","2.1","2","1.1"
"553","Miles Boykin","PIT","WR","2.1","6","0.4"
"555","Keith Smith","ATL","RB","2.0","6","0.3"
"555","DJ Turner","LV","WR","2.0","5","0.4"
"557","Brock Purdy","SF","QB","1.9","3","0.6"
"557","Damarea Crockett","DEN","RB","1.9","1","1.9"
"557","Trey Sermon","PHI","RB","1.9","1","1.9"
"560","Corey Clement","ARI","RB","1.8","2","0.9"
"560","Tyron Johnson","Multi","WR","1.8","2","0.9"
"562","Drew Sample","CIN","TE","1.8","2","0.9"
"563","Jalen Camp","HOU","WR","1.7","1","1.7"
"563","Tommy Sweeney","BUF","TE","1.7","1","1.7"
"563","Maurice Alexander","DET","WR","1.7","3","0.6"
"563","Maxx Williams","ARI","TE","1.7","1","1.7"
"563","Braylon Sanders","MIA","WR","1.7","1","1.7"
"563","David Johnson","NO","RB","1.7","1","1.7"
"569","Stone Smartt","LAC","TE","1.6","1","1.6"
"569","Jacob Harris","LAR","TE","1.6","3","0.5"
"571","Devine Ozigbo","DEN","RB","1.5","2","0.8"
"571","Jason Moore Jr.","LAC","WR","1.5","1","1.5"
"571","Jeff Driskel","HOU","QB","1.5","2","0.8"
"571","Brian Hoyer","NE","QB","1.5","1","1.5"
"575","Jacob Eason","CAR","QB","1.4","1","1.4"
"575","Richard Rodgers","LAC","TE","1.4","3","0.5"
"577","Mason Kinsey","TEN","WR","1.3","1","1.3"
"577","Salvon Ahmed","MIA","RB","1.3","3","0.4"
"579","Deonte Harty","NO","WR","1.3","4","0.3"
"580","Adam Prentice","NO","RB","1.2","2","0.6"
"580","Cody White","PIT","WR","1.2","1","1.2"
"580","Stephen Anderson","ARI","TE","1.2","7","0.2"
"583","Snoop Conner","JAC","RB","1.1","1","1.1"
"584","Keke Coutee","IND","WR","1.0","6","0.2"
"585","Demetric Felton Jr.","CLE","RB","0.9","3","0.3"
"586","Brandon Allen","CIN","QB","0.8","1","0.8"
"586","Gardner Minshew II","PHI","QB","0.8","1","0.8"
"588","Kylin Hill","GB","RB","0.7","1","0.7"
