"Rank","Player","Team","Bye","POS","ESPN","RTSports","MFL","Fantrax","FFC","Sleeper","AVG"
"421","Mark Sanchez","","","QB49","","","","383","","","383.0"
"422","Nathan Peterman","CHI","5","QB50","","","","384","","","384.0"
"423","Eddy Pineiro","CAR","4","K31","","","","386","","","386.0"
"424","Colin Kaepernick","","","QB51","","","","387","","","387.0"
"425","Aaron Hernandez","","","TE59","","","","388","","","388.0"
"426","Mike Davis","BAL","10","RB117","","","","389","","","389.0"
"427","Shelton Gibson","","","WR137","","","","390","","","390.0"
"428","Deonte Thompson","","","WR138","","","","391","","","391.0"
"429","Matt Cassel","","","QB52","","","","394","","","394.0"
"430","DaeSean Hamilton","","","WR139","","","","396","","","396.0"
"431","Zane Gonzalez","CAR","4","K32","","","","397","","","397.0"
"432","Javon Wims","ARI","9","WR140","","","","398","","","398.0"
"433","Derek Watt","PIT","7","RB118","","","","399","","","399.0"
"434","Terrance West","","","RB119","","","","400","","","400.0"
"435","Kerwynn Williams","","","RB120","","","","402","","","402.0"
"436","C.J. Ham","MIN","10","RB121","","","","403","","","403.0"
"437","Bennie Fowler III","","","WR141","","","","404","","","404.0"
"438","Seth Roberts","","","WR142","","","","405","","","405.0"
"439","Bruce Ellington","","","WR143","","","","407","","","407.0"
"440","Charcandrick West","","","RB122","","","","408","","","408.0"
"441","Mack Hollins","LV","","WR144","","","","409","","","409.0"
"442","Brandon Tate","","","WR145","","","","410","","","410.0"
"443","Dwayne Harris","","","WR146","","","","411","","","411.0"
"444","Jacob Hollister","LV","","TE60","","","","412","","","412.0"
"445","Brett Hundley","","","QB53","","","","413","","","413.0"
"446","Roc Thomas","","","RB123","","","","415","","","415.0"
"447","Roberto Aguayo","","","K33","","","","416","","","416.0"
"448","Marquez Valdes-Scantling","KC","12","WR147","","","","417","","","417.0"
"449","Braxton Berrios","NYJ","11","WR148","","","","418","","","418.0"
"450","Richie James Jr.","NYG","9","WR149","","","","419","","","419.0"
"451","Justin Davis","","","RB124","","","","420","","","420.0"
"452","Braxton Miller","","","WR150","","","","421","","","421.0"
"453","Amara Darboh","","","WR151","","","","423","","","423.0"
"454","T.J. Jones","","","WR152","","","","424","","","424.0"
"455","Jason Sanders","MIA","11","K34","","","","425","","","425.0"
"456","Jeremy Kerley","","","WR153","","","","426","","","426.0"
"457","Chris Conley","TEN","8","WR154","","","","427","","","427.0"
"458","Niles Paul","","","TE61","","","","428","","","428.0"
"459","Keith Smith","ATL","8","RB125","","","","429","","","429.0"
"460","Patrick DiMarco","","","RB126","","","","430","","","430.0"
"461","Andy Janovich","","","RB127","","","","431","","","431.0"
"462","Joe Webb III","","","QB54","","","","432","","","432.0"
"463","Nick Boyle","BAL","10","TE62","","","","433","","","433.0"
"464","Chris Moore","HOU","10","WR155","","","","434","","","434.0"
"465","Jermaine Gresham","","","TE63","","","","435","","","435.0"
"466","Justin Hunter ","","","WR156","","","","436","","","436.0"
"467","Demarcus Robinson","BAL","10","WR157","","","","437","","","437.0"
"468","Brandon Weeden","","","QB55","","","","438","","","438.0"
"469","Demetrius Harris ","","","TE64","","","","439","","","439.0"
"470","Seth DeValve","","","TE65","","","","440","","","440.0"
"471","Nate Sudfeld","DET","6","QB56","","","","441","","","441.0"
"472","Lee Smith","","","TE66","","","","442","","","442.0"
"473","Lance Kendricks","","","TE67","","","","443","","","443.0"
"474","Eli Rogers ","","","WR158","","","","444","","","444.0"
"475","A.J. Derby","","","TE68","","","","445","","","445.0"
"476","Benny Cunningham Jr.","","","RB128","","","","446","","","446.0"
"477","Chad Hansen","","","WR159","","","","447","","","447.0"
"478","De'Anthony Thomas","","","WR160","","","","448","","","448.0"
"479","Jamize Olawale","","","RB129","","","","449","","","449.0"
"480","Chris Herndon IV","","","TE69","","","","450","","","450.0"
"481","Nick O'Leary","","","TE70","","","","451","","","451.0"
"482","Logan Paulsen","","","TE71","","","","452","","","452.0"
"483","Geno Smith","SEA","7","QB57","","","","453","","","453.0"
"484","Mason Rudolph","PIT","7","QB58","","","","454","","","454.0"
"485","Josh Hill","","","TE72","","","","455","","","455.0"
"486","Blaine Gabbert","TB","5","QB59","","","","456","","","456.0"
"487","Kendrick Bourne","NE","11","WR161","","","","457","","","457.0"
"488","Josh Reynolds","DET","6","WR162","","","","458","","","458.0"
""
""
