"Rank","Player","Team","Bye","POS","ESPN","RTSports","MFL","Fantrax","FFC","Sleeper","AVG"
"132","DJ Moore","CAR","4","WR50","178","123","134","122","138","","139.0"
"133","Giovani Bernard","TB","5","RB47","167","141","126","126","147","","141.4"
"134","Dak Prescott","DAL","8","QB20","113","150","139","141","166","","141.8"
"135","Justin Tucker","BAL","10","K3","124","161","130","137","159","","142.2"
"136","Bilal Powell ","","","RB48","165","149","133","150","115","","142.4"
"137","Latavius Murray","DEN","10","RB49","159","146","136","144","128","","142.6"
"138","Michael Gallup","DAL","8","WR51","157","121","156","158","129","","144.2"
"139","Kenny Golladay","NYG","9","WR52","150","152","142","139","140","","144.6"
"140","Corey Clement","ARI","9","RB50","160","144","155","131","134","","144.8"
"141","Alfred Morris","","","RB51","68","173","123","249","112","","145.0"
"142","Josh Doctson","","","WR53","126","151","146","147","171","","148.2"
"143","Tyler Lockett","SEA","7","WR54","140","168","152","155","135","","150.0"
"144","Los Angeles Rams","DST","12","DST2","84","115","113","","107","","104.8"
"145","Cameron Meredith ","","","WR55","177","125","173","135","155","","153.0"
"146","Theo Riddick","","","RB52","172","126","176","123","175","","154.4"
"147","Minnesota Vikings","DST","10","DST3","95","119","121","","113","","112.0"
"148","Philadelphia Eagles","DST","9","DST4","85","127","120","","124","","114.0"
"149","LeGarrette Blount","","","RB53","144","164","199","138","165","","162.0"
"150","Jordan Wilkins","IND","9","RB54","170","145","170","194","150","","165.8"
"151","Anthony Miller","PIT","7","WR56","185","166","160","170","149","","166.0"
"152","Chris Godwin","TB","5","WR57","176","155","168","191","143","","166.6"
"153","James Conner","ARI","9","RB55","119","180","163","227","157","","169.2"
"154","Mike Williams","LAC","8","WR58","162","122","125","372","105","","177.2"
"155","John Brown","BUF","11","WR59","188","154","164","234","126","","173.2"
"156","Baltimore Ravens","DST","10","DST5","115","138","147","","131","","132.8"
"157","Los Angeles Chargers","DST","8","DST6","147","134","128","","122","","132.8"
"158","Mitch Trubisky","PIT","7","QB21","155","218","179","157","170","","175.8"
"159","Wil Lutz","NO","6","K4","181","169","191","172","169","","176.4"
"160","Matt Bryant","","","K5","137","177","211","190","176","","178.2"
"161","Chris Boswell","PIT","7 ","K6","132","176","196","207","182","","178.6"
"162","Harrison Butker","KC","12","K7","193","167","177","177","183","","179.4"
"163","Houston Texans","DST","10","DST7","129","137","157","","130","","138.3"
"164","John Ross","","","WR60","141","191","165","246","158","","180.2"
"165","Devontae Booker","","","RB56","","128","141","121","174","","141.0"
"166","Jake Elliott","PHI","9","K8","189","178","212","164","184","","185.4"
"167",".J. Howard","HOU","10 O","TE15","","160","129","142","160","","147.8"
"168","Danny Amendola","","","WR61","149","225","204","193","167","","187.6"
"169","Denver Broncos","DST","10","DST8","164","139","159","","144","","151.5"
"170","Courtland Sutton","DEN","10","WR62","180","216","184","215","177","","194.4"
