"Rank","Player","Team","Position","Points","Games","Avg"
"195","Austin Hooper","CLE","TE","113.5","13","8.7"
"196","Jalen Hurts","PHI","QB","113.2","15","7.6"
"197","Nick Foles","CHI","QB","112.1","9","12.5"
"198","A.J. Green","CIN","WR","111.3","16","7.0"
"199","Arizona Cardinals","ARI","DST","110.0","16","6.9"
"199","Cody Parkey","CLE","K","110.0","15","7.3"
"201","Malcolm Brown","LAR","RB","109.1","16","6.8"
"202","Anthony Miller","CHI","WR","108.7","16","6.8"
"203","Kansas City Chiefs","KC","DST","108.0","16","6.8"
"203","New England Patriots","NE","DST","108.0","16","6.8"
"205","Rex Burkhead","NE","RB","107.6","10","10.8"
"206","Demarcus Robinson","KC","WR","107.6","15","7.2"
"207","Danny Amendola","DET","WR","106.4","14","7.6"
"208","Robbie Gould","SF","K","106.0","15","7.1"
"209","Seattle Seahawks","SEA","DST","105.0","16","6.6"
"210","Tre'Quan Smith","NO","WR","103.1","14","7.4"
"211","New York Giants","NYG","DST","103.0","16","6.4"
"211","Philadelphia Eagles","PHI","DST","103.0","16","6.4"
"213","Scotty Miller","TB","WR","102.5","16","6.4"
"214","Cam Akers","LAR","RB","101.8","12","8.5"
"215","Zack Moss","BUF","RB","101.6","13","7.8"
"216","Larry Fitzgerald","ARI","WR","100.9","13","7.8"
"217","Frank Gore","NYJ","RB","100.2","15","6.7"
"218","Randall Cobb","HOU","WR","100.1","10","10.0"
"219","Randy Bullock","CIN","K","100.0","12","8.3"
"219","Chris Boswell","PIT","K","100.0","13","7.7"
"221","Raheem Mostert","SF","RB","99.7","8","12.5"
"222","Joe Mixon","CIN","RB","99.6","6","16.6"
"223","Isaiah McKenzie","BUF","WR","99.6","16","6.2"
"224","James Washington","PIT","WR","99.2","16","6.2"
"225","Breshad Perriman","NYJ","WR","99.1","12","8.3"
"226","Carolina Panthers","CAR","DST","99.0","16","6.2"
"227","Michael Pittman Jr.","IND","WR","98.9","13","7.6"
"228","Irv Smith Jr.","MIN","TE","98.5","13","7.6"
"229","Zane Gonzalez","ARI","K","98.0","12","8.2"
"230","Allen Lazard","GB","WR","97.8","10","9.8"
"231","Braxton Berrios","NYJ","WR","97.3","16","6.1"
"232","Chris Conley","JAC","WR","97.1","15","6.5"
"233","Jalen Guyton","LAC","WR","97.1","16","6.1"
"234","Cleveland Browns","CLE","DST","97.0","16","6.1"
"235","John Brown","BUF","WR","96.8","9","10.8"
"236","Dan Arnold","ARI","TE","96.8","16","6.1"
"237","Boston Scott","PHI","RB","95.6","16","6.0"
"238","Brian Hill","ATL","RB","95.4","16","6.0"
"239","Willie Snead IV","BAL","WR","94.2","13","7.3"
"240","Green Bay Packers","GB","DST","94.0","16","5.9"
"241","Kalen Ballage","Multi","RB","93.9","11","8.5"
"242","Gerald Everett","LAR","TE","92.9","16","5.8"
"243","Chicago Bears","CHI","DST","92.0","16","5.8"
"244","Damien Harris","NE","RB","91.3","10","9.1"
"245","Christian McCaffrey","CAR","RB","90.4","3","30.1"
"246","K.J. Hamler","DEN","WR","90.1","13","6.9"
"247","San Francisco 49ers","SF","DST","90.0","16","5.6"
"247","Dan Bailey","MIN","K","90.0","16","5.6"
"249","Sammy Watkins","KC","WR","88.4","10","8.8"
"250","Jakeem Grant Sr.","MIA","WR","87.3","14","6.2"
"251","Jalen Reagor","PHI","WR","87.2","11","7.9"
"252","Keke Coutee","HOU","WR","87.0","8","10.9"
"253","Alexander Mattison","MIN","RB","86.9","13","6.7"
"254","Odell Beckham Jr.","CLE","WR","86.8","7","12.4"
"255","Golden Tate","NYG","WR","86.5","12","7.2"
"256","Cam Sims","WAS","WR","86.2","16","5.4"
"257","Devontae Booker","LV","RB","85.7","16","5.4"
"258","Carlos Hyde","SEA","RB","84.9","10","8.5"
"259","Duke Johnson Jr.","HOU","RB","84.4","11","7.7"
"260","Henry Ruggs III","LV","WR","84.1","13","6.5"
"261","Michael Thomas","NO","WR","83.9","7","12.0"
"262","Jordan Akins","HOU","TE","83.7","13","6.4"
"263","Anthony Firkser","TEN","TE","83.7","16","5.2"
"264","Trey Burton","IND","TE","83.3","13","6.4"
"265","Tyler Eifert","JAC","TE","82.9","15","5.5"
"266","Kyle Juszczyk","SF","RB","81.6","16","5.1"
"267","Joshua Kelley","LAC","RB","81.2","14","5.8"
"268","Deebo Samuel","SF","WR","80.7","7","11.5"
"269","Mo Alie-Cox","IND","TE","80.4","15","5.4"
"270","Alex Smith","WAS","QB","79.6","8","10.0"
"271","Tyron Johnson","LAC","WR","79.5","12","6.6"
"272","Drew Sample","CIN","TE","78.9","16","4.9"
"273","Dallas Cowboys","DAL","DST","78.0","16","4.9"
"274","Zach Ertz","PHI","TE","77.5","11","7.1"
"275","Denver Broncos","DEN","DST","77.0","16","4.8"
"276","Darren Fells","HOU","TE","76.2","16","4.8"
"277","Los Angeles Chargers","LAC","DST","76.0","16","4.8"
"278","Sony Michel","NE","RB","75.3","9","8.4"
"279","Dwayne Haskins","WAS","QB","75.2","7","10.7"
"280","Jake Elliott","PHI","K","75.0","16","4.7"
"281","Benny Snell Jr.","PIT","RB","74.9","16","4.7"
"282","Preston Williams","MIA","WR","74.8","8","9.4"
"283","Le'Veon Bell","Multi","RB","74.6","11","6.8"
"284","N'Keal Harry","NE","WR","73.9","14","5.3"
"285","Chris Herndon IV","NYJ","TE","73.7","16","4.6"
"286","Jordan Reed","SF","TE","73.1","10","7.3"
"287","Atlanta Falcons","ATL","DST","72.0","16","4.5"
"288","Kerryon Johnson","DET","RB","71.8","16","4.5"
"289","Richard Rodgers","PHI","TE","70.5","14","5.0"
"290","Miles Boykin","BAL","WR","69.6","16","4.4"
"291","Jimmy Garoppolo","SF","QB","69.4","6","11.6"
"291","Cordarrelle Patterson","CHI","RB","69.4","16","4.3"
"293","Salvon Ahmed","MIA","RB","69.0","6","11.5"
"294","Cameron Brate","TB","TE","68.2","16","4.3"
"295","New York Jets","NYJ","DST","67.0","16","4.2"
"296","Quintez Cephus","DET","WR","66.9","13","5.2"
"297","Dawson Knox","BUF","TE","66.8","12","5.6"
"298","Phillip Lindsay","DEN","RB","66.0","11","6.0"
"298","Matt Gay","LAR","K","66.0","7","9.4"
"298","Tennessee Titans","TEN","DST","66.0","16","4.1"
"301","Jacob Hollister","SEA","TE","65.9","16","4.1"
"302","Kenny Golladay","DET","WR","65.8","5","13.2"
"303","Samaje Perine","CIN","RB","65.7","16","4.1"
"304","Mike Glennon","JAC","QB","65.5","5","13.1"
"305","Kyle Rudolph","MIN","TE","65.4","12","5.5"
"306","Justin Jackson","LAC","RB","65.3","9","7.3"
"307","Richie James Jr.","SF","WR","64.4","11","5.9"
"308","Jack Doyle","IND","TE","64.1","14","4.6"
"309","Ty Johnson","Multi","RB","63.3","13","4.9"
"310","DaeSean Hamilton","DEN","WR","62.3","16","3.9"
"311","Cole Kmet","CHI","TE","62.0","16","3.9"
"312","Harrison Bryant","CLE","TE","61.8","15","4.1"
"313","Jordan Wilkins","IND","RB","61.3","15","4.1"
"314","Will Dissly","SEA","TE","61.1","16","3.8"
"315","Denzel Mims","NYJ","WR","60.7","9","6.7"
"316","Marvin Hall","Multi","WR","60.3","12","5.0"
"317","Minnesota Vikings","MIN","DST","60.0","16","3.8"
"318","Collin Johnson","JAC","WR","59.2","14","4.2"
"319","Durham Smythe","MIA","TE","58.8","15","3.9"
"320","Donovan Peoples-Jones","CLE","WR","58.4","12","4.9"
"321","Adam Humphries","TEN","WR","57.8","7","8.3"
"322","Joe Flacco","NYJ","QB","57.7","5","11.5"
"323","Steven Sims Jr.","WAS","WR","57.3","12","4.8"
"324","Ito Smith","ATL","RB","57.3","14","4.1"
"325","Dion Lewis","NYG","RB","57.2","16","3.6"
"326","DeeJay Dallas","SEA","RB","56.9","12","4.7"
"327","Julian Edelman","NE","WR","56.2","6","9.4"
"328","Isaiah Ford","MIA","WR","55.6","10","5.6"
"329","Sam Sloman","Multi","K","55.0","8","6.9"
"329","Peyton Barber","WAS","RB","55.0","16","3.4"
"331","Andy Isabella","ARI","WR","54.8","13","4.2"
"332","Darrel Williams","KC","RB","54.5","16","3.4"
"333","James O'Shaughnessy","JAC","TE","54.2","15","3.6"
"334","Jacksonville Jaguars","JAC","DST","54.0","16","3.4"
"334","Sam Ficken","NYJ","K","54.0","9","6.0"
"336","Greg Olsen","SEA","TE","53.9","11","4.9"
"337","Brandon Allen","CIN","QB","53.6","5","10.7"
"337","Lynn Bowden Jr.","MIA","WR","53.6","10","5.4"
"339","Olamide Zaccheaus","ATL","WR","53.4","11","4.9"
"340","Devin Duvernay","BAL","WR","53.1","16","3.3"
"341","Mark Ingram II","BAL","RB","52.9","11","4.8"
"342","La'Mical Perine","NYJ","RB","52.5","10","5.3"
"343","David Njoku","CLE","TE","52.3","13","4.0"
"343","C.J. Beathard","SF","QB","52.3","6","8.7"
"345","Cedrick Wilson Jr.","DAL","WR","51.6","16","3.2"
"346","Jalen Richard","LV","RB","51.1","13","3.9"
"347","Chad Beebe","MIN","WR","50.1","14","3.6"
"348","Ross Dwelley","SF","TE","49.5","16","3.1"
"349","Deonte Harty","NO","WR","47.7","9","5.3"
"350","Van Jefferson","LAR","WR","46.9","16","2.9"
"351","Chad Hansen","HOU","WR","46.6","5","9.3"
"352","Isaiah Wright","WAS","WR","46.3","14","3.3"
"353","Dontrelle Inman","WAS","WR","46.3","10","4.6"
"354","Kyle Allen","WAS","QB","46.1","4","11.5"
"355","Cincinnati Bengals","CIN","DST","45.0","16","2.8"
"355","Adam Shaheen","MIA","TE","45.0","16","2.8"
"355","Houston Texans","HOU","DST","45.0","16","2.8"
"358","DeSean Jackson","PHI","WR","44.8","5","9.0"
"359","Tyler Conklin","MIN","TE","44.4","16","2.8"
"360","Mohamed Sanu Sr.","Multi","WR","44.0","10","4.4"
"361","Jeremy McNichols","TEN","RB","43.9","16","2.7"
"361","Donald Parham Jr.","LAC","TE","43.9","13","3.4"
"363","Las Vegas Raiders","LV","DST","43.0","16","2.7"
"364","Chris Thompson","JAC","RB","42.6","8","5.3"
"365","Marquez Callaway","NO","WR","42.3","11","3.9"
"366","Pharaoh Brown","HOU","TE","42.3","13","3.3"
"367","Matt Breida","MIA","RB","42.0","12","3.5"
"368","Tyler Kroft","BUF","TE","41.9","10","4.2"
"369","Byron Pringle","KC","WR","41.0","12","3.4"
"370","Tyler Johnson","TB","WR","40.9","14","2.9"
"371","Freddie Swain","SEA","WR","40.9","16","2.6"
"372","Alfred Morris","NYG","RB","40.7","9","4.5"
"373","Ian Thomas","CAR","TE","40.5","16","2.5"
"374","AJ Dillon","GB","RB","40.3","11","3.7"
"375","Marcus Johnson","IND","WR","39.5","11","3.6"
"376","Aldrick Rosas","JAC","K","39.0","6","6.5"
"377","Jesse James","DET","TE","38.9","16","2.4"
"378","Marcedes Lewis","GB","TE","38.7","15","2.6"
"379","Adam Trautman","NO","TE","38.1","15","2.5"
"380","O.J. Howard","TB","TE","37.6","4","9.4"
"381","Mack Hollins","MIA","WR","37.6","16","2.4"
"382","Nick Boyle","BAL","TE","37.3","9","4.1"
"383","Royce Freeman","DEN","RB","37.1","16","2.3"
"384","Josh Adams","NYJ","RB","36.6","8","4.6"
"384","Zay Jones","LV","WR","36.6","16","2.3"
"386","Rodney Smith","CAR","RB","36.5","7","5.2"
"387","Bryan Edwards","LV","WR","36.3","12","3.0"
"388","Sergio Castillo","NYJ","K","36.0","6","6.0"
"388","Devonta Freeman","NYG","RB","36.0","5","7.2"
"390","Detroit Lions","DET","DST","35.0","16","2.2"
"391","Bisi Johnson","MIN","WR","34.9","16","2.2"
"392","Jake Luton","JAC","QB","34.3","3","11.4"
"393","Jeff Smith","NYJ","WR","33.7","12","2.8"
"394","Darwin Thompson","KC","RB","33.2","13","2.6"
"395","Foster Moreau","LV","TE","33.0","16","2.1"
"396","Travis Homer","SEA","RB","32.8","9","3.6"
"397","KeeSean Johnson","ARI","WR","32.3","8","4.0"
"398","Ray-Ray McCloud","PIT","WR","32.2","16","2.0"
"399","Jeff Driskel","DEN","QB","32.0","3","10.7"
"400","Jason Witten","LV","TE","31.9","16","2.0"
"401","Kenny Stills","HOU","WR","31.4","10","3.1"
"402","JaMycal Hasty","SF","RB","31.1","8","3.9"
"403","Ryan Izzo","NE","TE","30.9","12","2.6"
"404","Jordan Howard","Multi","RB","30.7","7","4.4"
"405","Mike Thomas","CIN","WR","30.3","14","2.2"
"406","Mike Nugent","ARI","K","30.0","4","7.5"
"406","Ameer Abdullah","MIN","RB","30.0","16","1.9"
"408","Cameron Batson","TEN","WR","30.0","12","2.5"
"409","Dare Ogunbowale","JAC","RB","29.9","14","2.1"
"410","Noah Brown","DAL","WR","29.8","16","1.9"
"411","Brandon Powell","ATL","WR","29.6","15","2.0"
"412","Nick Vannett","DEN","TE","29.5","15","2.0"
"413","Alec Ingold","LV","RB","29.4","16","1.8"
"413","Jace Sternberger","GB","TE","29.4","12","2.5"
"415","Kaden Smith","NYG","TE","29.2","15","2.0"
"416","Jamal Agnew","DET","WR","29.2","14","2.1"
"417","Albert Okwuegbunam","DEN","TE","29.1","4","7.3"
"418","KhaDarel Hodge","CLE","WR","29.0","9","3.2"
"418","Auden Tate","CIN","WR","29.0","9","3.2"
"420","John Hightower","PHI","WR","28.8","13","2.2"
"421","LeSean McCoy","TB","RB","28.2","10","2.8"
"422","Josh Lambo","JAC","K","28.0","4","7.0"
"423","Kalif Raymond","TEN","WR","27.4","15","1.8"
"424","Christian Blake","ATL","WR","27.1","16","1.7"
"425","Austin Seibert","Multi","K","27.0","5","5.4"
"426","Marcus Mariota","LV","QB","26.8","1","26.8"
"427","Tyler Ervin","GB","RB","26.1","8","3.3"
"428","Chris Hogan","NYJ","WR","25.8","5","5.2"
"429","Gunner Olszewski","NE","WR","25.5","13","2.0"
"429","C.J. Ham","MIN","RB","25.5","15","1.7"
"431","Equanimeous St. Brown","GB","WR","25.4","12","2.1"
"432","Vance McDonald","PIT","TE","24.9","14","1.8"
"433","Malcolm Perry","MIA","WR","24.7","9","2.7"
"434","Maxx Williams","ARI","TE","24.2","9","2.7"
"435","Chad Henne","KC","QB","23.7","3","7.9"
"436","Quez Watkins","PHI","WR","23.6","6","3.9"
"437","Alshon Jeffery","PHI","WR","23.5","7","3.4"
"438","Ke'Shawn Vaughn","TB","RB","23.3","10","2.3"
"438","Geoff Swaim","TEN","TE","23.3","10","2.3"
"440","Darrell Daniels","ARI","TE","23.2","12","1.9"
"441","Laquon Treadwell","ATL","WR","22.9","5","4.6"
"442","C.J. Uzomah","CIN","TE","22.7","2","11.4"
"442","Dez Bryant","BAL","WR","22.7","6","3.8"
"442","Anthony McFarland Jr.","PIT","RB","22.7","11","2.1"
"445","Alex Erickson","CIN","WR","22.6","16","1.4"
"446","DeMichael Harris","IND","WR","22.5","7","3.2"
"447","Blake Bell","DAL","TE","22.2","16","1.4"
"448","Troy Fumagalli","DEN","TE","22.0","8","2.8"
"448","Patrick Laird","MIA","RB","22.0","16","1.4"
"450","MyCole Pruitt","TEN","TE","21.9","11","2.0"
"451","Trayveon Williams","CIN","RB","21.7","10","2.2"
"452","C.J. Board","NYG","WR","21.4","14","1.5"
"453","Antonio Williams","BUF","RB","21.3","1","21.3"
"454","Ryan Finley","CIN","QB","21.2","5","4.2"
"455","Alex Collins","SEA","RB","21.1","3","7.0"
"456","Matthew Wright","PIT","K","21.0","3","7.0"
"456","Corey Clement","PHI","RB","21.0","15","1.4"
"456","D'Ernest Johnson","CLE","RB","21.0","16","1.3"
"459","Ryan Nall","CHI","RB","20.7","15","1.4"
"460","Jacoby Brissett","IND","QB","20.6","11","1.9"
"461","Gabe Nabers","LAC","RB","20.2","16","1.3"
"462","Chase McLaughlin","Multi","K","20.0","4","5.0"
"463","Troymaine Pope","LAC","RB","19.8","6","3.3"
"464","Lee Smith","BUF","TE","19.5","10","2.0"
"465","Mason Rudolph","PIT","QB","19.3","5","3.9"
"466","Colt McCoy","NYG","QB","19.1","4","4.8"
"467","Stephen Anderson","LAC","TE","18.6","16","1.2"
"467","Josh Hill","NO","TE","18.6","14","1.3"
"469","Trent Taylor","SF","WR","18.6","12","1.6"
"470","Malik Taylor","GB","WR","18.5","15","1.2"
"471","Ryan Griffin","NYJ","TE","17.6","15","1.2"
"472","Keith Smith","ATL","RB","17.6","16","1.1"
"473","Jakob Johnson","NE","RB","17.5","16","1.1"
