"Rank","Player","Team","Position","Points","Games","Avg"
"1","Josh Allen","BUF","QB","406.2","16","25.4"
"2","Kyler Murray","ARI","QB","390.7","16","24.4"
"3","Aaron Rodgers","GB","QB","388.1","16","24.3"
"4","Patrick Mahomes II","KC","QB","380.3","15","25.4"
"5","Alvin Kamara","NO","RB","377.8","15","25.2"
"6","Deshaun Watson","HOU","QB","376.4","16","23.5"
"7","Russell Wilson","SEA","QB","372.6","16","23.3"
"8","Davante Adams","GB","WR","358.4","14","25.6"
"9","Ryan Tannehill","TEN","QB","351.3","16","22.0"
"10","Tom Brady","TB","QB","350.0","16","21.9"
"11","Justin Herbert","LAC","QB","342.8","15","22.9"
"12","Lamar Jackson","BAL","QB","341.7","15","22.8"
"13","Dalvin Cook","MIN","RB","337.8","14","24.1"
"14","Derrick Henry","TEN","RB","333.1","16","20.8"
"15","Tyreek Hill","KC","WR","328.9","15","21.9"
"16","Stefon Diggs","BUF","WR","328.6","16","20.5"
"17","Kirk Cousins","MIN","QB","319.2","16","20.0"
"18","Travis Kelce","KC","TE","312.8","15","20.9"
"19","Matt Ryan","ATL","QB","293.3","16","18.3"
"20","DeAndre Hopkins","ARI","WR","287.8","16","18.0"
"21","Calvin Ridley","ATL","WR","281.5","15","18.8"
"22","Derek Carr","LV","QB","281.0","16","17.6"
"23","Darren Waller","LV","TE","278.6","16","17.4"
"24","Ben Roethlisberger","PIT","QB","277.2","15","18.5"
"25","Justin Jefferson","MIN","WR","274.2","16","17.1"
"26","DK Metcalf","SEA","WR","271.3","16","17.0"
"27","Cam Newton","NE","QB","271.3","15","18.1"
"28","Matthew Stafford","DET","QB","270.5","16","16.9"
"29","Tyler Lockett","SEA","WR","265.4","16","16.6"
"30","David Montgomery","CHI","RB","264.8","15","17.7"
"31","Allen Robinson II","CHI","WR","262.9","16","16.4"
"32","Aaron Jones","GB","RB","258.9","14","18.5"
"33","Baker Mayfield","CLE","QB","256.8","16","16.1"
"34","Adam Thielen","MIN","WR","254.0","15","16.9"
"35","Jared Goff","LAR","QB","253.0","15","16.9"
"36","Jonathan Taylor","IND","RB","252.8","15","16.9"
"37","Teddy Bridgewater","CAR","QB","252.1","15","16.8"
"38","Philip Rivers","IND","QB","251.0","16","15.7"
"39","James Robinson","JAC","RB","250.4","14","17.9"
"40","Mike Evans","TB","WR","248.6","16","15.5"
"41","A.J. Brown","TEN","WR","247.5","14","17.7"
"42","Keenan Allen","LAC","WR","245.1","14","17.5"
"43","Robert Woods","LAR","WR","245.1","16","15.3"
"44","Amari Cooper","DAL","WR","236.8","16","14.8"
"45","JuJu Smith-Schuster","PIT","WR","234.1","16","14.6"
"46","Brandin Cooks","HOU","WR","232.0","15","15.5"
"47","Josh Jacobs","LV","RB","231.3","15","15.4"
"48","Marvin Jones Jr.","DET","WR","227.8","16","14.2"
"49","Robbie Anderson","CAR","WR","224.1","16","14.0"
"50","Terry McLaurin","WAS","WR","223.8","15","14.9"
"51","Ezekiel Elliott","DAL","RB","223.7","15","14.9"
"52","Diontae Johnson","PIT","WR","221.8","15","14.8"
"53","Kareem Hunt","CLE","RB","218.5","16","13.7"
"54","CeeDee Lamb","DAL","WR","217.7","16","13.6"
"55","Drew Brees","NO","QB","215.4","12","18.0"
"56","Chase Claypool","PIT","WR","214.9","16","13.4"
"57","Carson Wentz","PHI","QB","213.4","12","17.8"
"58","Curtis Samuel","CAR","WR","212.1","15","14.1"
"59","DJ Moore","CAR","WR","211.5","15","14.1"
"60","Cooper Kupp","LAR","WR","208.7","15","13.9"
"61","Nick Chubb","CLE","RB","207.7","12","17.3"
"62","Cole Beasley","BUF","WR","207.5","15","13.8"
"63","Mike Davis","CAR","RB","206.5","15","13.8"
"64","Antonio Gibson","WAS","RB","202.2","14","14.4"
"65","Melvin Gordon III","DEN","RB","198.4","15","13.2"
"66","Drew Lock","DEN","QB","196.4","13","15.1"
"67","Tee Higgins","CIN","WR","194.6","16","12.2"
"68","Nyheim Hines","IND","RB","193.2","16","12.1"
"69","Tyler Boyd","CIN","WR","192.6","15","12.8"
"70","Kenyan Drake","ARI","RB","192.2","15","12.8"
"71","Corey Davis","TEN","WR","191.4","14","13.7"
"72","J.D. McKissic","WAS","RB","191.4","16","12.0"
"73","Chris Godwin","TB","WR","191.0","12","15.9"
"74","Daniel Jones","NYG","QB","190.2","14","13.6"
"75","D'Andre Swift","DET","RB","189.8","13","14.6"
"76","William Fuller V","HOU","WR","188.9","11","17.2"
"77","Jarvis Landry","CLE","WR","188.0","15","12.5"
"78","Chris Carson","SEA","RB","187.8","12","15.7"
"79","Ronald Jones II","TB","RB","186.3","14","13.3"
"80","Nelson Agholor","LV","WR","185.6","16","11.6"
"81","Brandon Aiyuk","SF","WR","184.5","12","15.4"
"82","Marquise Brown","BAL","WR","183.0","16","11.4"
"83","Russell Gage","ATL","WR","181.1","16","11.3"
"84","David Johnson","HOU","RB","179.5","12","15.0"
"85","Joe Burrow","CIN","QB","178.6","10","17.9"
"86","Robert Tonyan","GB","TE","176.6","16","11.0"
"87","Logan Thomas","WAS","TE","176.6","16","11.0"
"88","Clyde Edwards-Helaire","KC","RB","176.0","13","13.5"
"89","T.J. Hockenson","DET","TE","175.3","16","11.0"
"90","Michael Gallup","DAL","WR","173.3","16","10.8"
"91","Jamison Crowder","NYJ","WR","172.0","12","14.3"
"91","Jason Sanders","MIA","K","172.0","16","10.8"
"93","Miles Sanders","PHI","RB","170.4","12","14.2"
"94","Mark Andrews","BAL","TE","170.1","14","12.2"
"95","J.K. Dobbins","BAL","RB","168.5","15","11.2"
"96","Chase Edmonds","ARI","RB","168.0","16","10.5"
"97","Younghoe Koo","ATL","K","168.0","15","11.2"
"98","DeVante Parker","MIA","WR","166.3","14","11.9"
"99","Gardner Minshew II","JAC","QB","165.5","9","18.4"
"100","Austin Ekeler","LAC","RB","165.3","10","16.5"
"101","Emmanuel Sanders","NO","WR","164.8","14","11.8"
"102","James Conner","PIT","RB","164.6","13","12.7"
"103","T.Y. Hilton","IND","WR","164.2","15","11.0"
"104","Myles Gaskin","MIA","RB","164.2","10","16.4"
"105","Todd Gurley II","ATL","RB","163.2","15","10.9"
"106","Sterling Shepard","NYG","WR","162.5","12","13.5"
"107","Mitch Trubisky","CHI","QB","161.8","10","16.2"
"108","Ryan Fitzpatrick","MIA","QB","161.7","10","16.2"
"109","Tim Patrick","DEN","WR","161.2","15","10.8"
"110","Mike Gesicki","MIA","TE","159.3","15","10.6"
"111","Taysom Hill","NO","TE","158.5","16","9.9"
"112","Giovani Bernard","CIN","RB","158.1","16","9.9"
"113","Jerry Jeudy","DEN","WR","157.6","16","9.9"
"114","Laviska Shenault Jr.","JAC","WR","157.1","14","11.2"
"115","Tyler Bass","BUF","K","157.0","16","9.8"
"116","Keelan Cole Sr.","JAC","WR","155.4","16","9.7"
"117","Daniel Carlson","LV","K","155.0","16","9.7"
"118","Mike Williams","LAC","WR","153.7","15","10.3"
"119","D.J. Chark Jr.","JAC","WR","153.6","13","11.8"
"120","Greg Zuerlein","DAL","K","153.0","16","9.6"
"121","Darnell Mooney","CHI","WR","152.1","16","9.5"
"122","Los Angeles Rams","LAR","DST","151.0","16","9.4"
"123","Rodrigo Blankenship","IND","K","150.0","16","9.4"
"124","Rob Gronkowski","TB","TE","149.3","16","9.3"
"124","Noah Fant","DEN","TE","149.3","15","10.0"
"126","Hayden Hurst","ATL","TE","149.1","16","9.3"
"127","Pittsburgh Steelers","PIT","DST","148.0","16","9.3"
"128","Dalton Schultz","DAL","TE","146.5","16","9.2"
"129","Christian Kirk","ARI","WR","146.4","14","10.5"
"130","Julio Jones","ATL","WR","146.1","9","16.2"
"131","Hunter Henry","LAC","TE","145.3","14","10.4"
"132","Indianapolis Colts","IND","DST","145.0","16","9.1"
"132","Ryan Succop","TB","K","145.0","16","9.1"
"132","Justin Tucker","BAL","K","145.0","16","9.1"
"135","Sam Darnold","NYJ","QB","145.0","12","12.1"
"136","Andy Dalton","DAL","QB","144.9","11","13.2"
"137","Devin Singletary","BUF","RB","143.6","16","9.0"
"138","Jimmy Graham","CHI","TE","143.6","16","9.0"
"139","Jakobi Meyers","NE","WR","142.6","14","10.2"
"140","Jeff Wilson Jr.","SF","RB","142.3","12","11.9"
"141","Eric Ebron","PIT","TE","141.8","15","9.5"
"142","Miami Dolphins","MIA","DST","141.0","16","8.8"
"142","Baltimore Ravens","BAL","DST","141.0","16","8.8"
"144","Darius Slayton","NYG","WR","141.0","16","8.8"
"144","Evan Engram","NYG","TE","141.0","16","8.8"
"146","Tua Tagovailoa","MIA","QB","140.4","10","14.0"
"147","Jonnu Smith","TEN","TE","140.2","15","9.4"
"148","Dak Prescott","DAL","QB","139.6","5","27.9"
"149","Cairo Santos","CHI","K","139.0","16","8.7"
"150","Jason Myers","SEA","K","138.0","16","8.6"
"151","Marquez Valdes-Scantling","GB","WR","137.3","16","8.6"
"152","Zach Pascal","IND","WR","136.9","16","8.6"
"152","Gabe Davis","BUF","WR","136.9","16","8.6"
"154","Wayne Gallman Jr.","NYG","RB","136.6","15","9.1"
"155","Latavius Murray","NO","RB","136.2","15","9.1"
"156","Brandon McManus","DEN","K","136.0","15","9.1"
"157","Wil Lutz","NO","K","135.0","16","8.4"
"158","Harrison Butker","KC","K","134.0","16","8.4"
"159","Greg Ward","PHI","WR","133.1","16","8.3"
"160","Graham Gano","NYG","K","133.0","16","8.3"
"161","Leonard Fournette","TB","RB","132.0","13","10.2"
"161","Ka'imi Fairbairn","HOU","K","132.0","16","8.3"
"163","Hunter Renfrow","LV","WR","131.6","16","8.2"
"164","Darrell Henderson Jr.","LAR","RB","130.3","15","8.7"
"165","Kendrick Bourne","SF","WR","129.7","15","8.7"
"166","Joey Slye","CAR","K","129.0","16","8.1"
"167","Tyler Higbee","LAR","TE","128.2","15","8.6"
"168","Gus Edwards","BAL","RB","128.2","16","8.0"
"168","Nick Mullens","SF","QB","128.2","10","12.8"
"170","Mecole Hardman","KC","WR","128.1","16","8.0"
"171","Dustin Hopkins","WAS","K","128.0","16","8.0"
"172","Jared Cook","NO","TE","127.4","15","8.5"
"173","Jamaal Williams","GB","RB","127.1","14","9.1"
"174","Washington Commanders","WAS","DST","127.0","16","7.9"
"175","Jerick McKinnon","SF","RB","126.2","16","7.9"
"176","New Orleans Saints","NO","DST","126.0","16","7.9"
"177","George Kittle","SF","TE","125.1","8","15.6"
"178","Adrian Peterson","DET","RB","124.5","16","7.8"
"179","Josh Reynolds","LAR","WR","124.3","16","7.8"
"180","Nick Folk","NE","K","123.0","16","7.7"
"181","Rashard Higgins","CLE","WR","120.9","13","9.3"
"182","Tony Pollard","DAL","RB","120.8","16","7.6"
"183","Michael Badgley","LAC","K","120.0","16","7.5"
"183","Mason Crosby","GB","K","120.0","16","7.5"
"185","Tampa Bay Buccaneers","TB","DST","119.0","16","7.4"
"185","Stephen Gostkowski","TEN","K","119.0","15","7.9"
"187","David Moore","SEA","WR","118.8","16","7.4"
"188","Buffalo Bills","BUF","DST","118.0","16","7.4"
"189","Antonio Brown","TB","WR","117.1","8","14.6"
"190","Matt Prater","DET","K","117.0","16","7.3"
"191","James White","NE","RB","116.6","14","8.3"
"192","Dallas Goedert","PHI","TE","116.4","11","10.6"
"193","Travis Fulgham","PHI","WR","115.9","13","8.9"
"194","Damiere Byrd","NE","WR","114.9","16","7.2"
