"Rank","Player","Team","Position","Points","Games","Avg"
"87","T.J. Yeldon","JAC","RB","173.1","14","12.4"
"88","Lamar Miller","HOU","RB","172.6","14","12.3"
"89","Aaron Jones","GB","RB","171.4","12","14.3"
"90","Ka'imi Fairbairn","HOU","K","170.0","16","10.6"
"91","Austin Ekeler","LAC","RB","168.8","14","12.1"
"92","Sam Darnold","NYJ","QB","168.4","13","13.0"
"93","Ryan Fitzpatrick","TB","QB","165.8","8","20.7"
"94","Nelson Agholor","PHI","WR","165.4","16","10.3"
"95","Zay Jones","BUF","WR","165.2","16","10.3"
"96","Austin Hooper","ATL","TE","163.0","16","10.2"
"97","Matt Breida","SF","RB","162.5","14","11.6"
"98","Nyheim Hines","IND","RB","160.9","16","10.1"
"99","Dion Lewis","TEN","RB","160.7","16","10.0"
"100","Justin Tucker","BAL","K","160.0","16","10.0"
"101","Lamar Jackson","BAL","QB","157.6","16","9.9"
"102","DJ Moore","CAR","WR","157.0","16","9.8"
"103","Demaryius Thomas","Multi","WR","156.7","15","10.5"
"104","Jordy Nelson","LV","WR","156.7","15","10.5"
"105","Jalen Richard","LV","RB","156.6","16","9.8"
"106","Robbie Anderson","NYJ","WR","156.4","14","11.2"
"107","Allen Robinson II","CHI","WR","153.3","13","11.8"
"108","Dalvin Cook","MIN","RB","152.0","11","13.8"
"109","Taylor Gabriel","CHI","WR","151.9","16","9.5"
"110","Kyle Rudolph","MIN","TE","151.4","16","9.5"
"111","DeSean Jackson","TB","WR","151.3","12","12.6"
"112","Wil Lutz","NO","K","151.0","16","9.4"
"112","Jason Myers","NYJ","K","151.0","16","9.4"
"114","Peyton Barber","TB","RB","150.3","16","9.4"
"115","Cole Beasley","DAL","WR","150.2","16","9.4"
"116","A.J. Green","CIN","WR","149.4","9","16.6"
"117","Los Angeles Rams","LAR","DST","149.0","16","9.3"
"118","Trey Burton","CHI","TE","147.1","16","9.2"
"119","Houston Texans","HOU","DST","147.0","16","9.2"
"119","Harrison Butker","KC","K","147.0","16","9.2"
"121","Mason Crosby","GB","K","145.0","16","9.1"
"122","David Njoku","CLE","TE","143.9","16","9.0"
"122","John Brown","BAL","WR","143.9","16","9.0"
"124","Ryan Tannehill","MIA","QB","143.0","11","13.0"
"125","Mark Ingram II","NO","RB","142.5","12","11.9"
"126","Doug Baldwin","SEA","WR","141.8","13","10.9"
"127","Aldrick Rosas","NYG","K","141.0","16","8.8"
"128","Isaiah Crowell","NYJ","RB","140.7","13","10.8"
"129","Kerryon Johnson","DET","RB","139.4","10","13.9"
"130","Sony Michel","NE","RB","139.1","13","10.7"
"131","Robbie Gould","SF","K","139.0","16","8.7"
"132","Josh Gordon","Multi","WR","138.7","12","11.6"
"133","Brett Maher","DAL","K","138.0","16","8.6"
"133","Stephen Gostkowski","NE","K","138.0","16","8.6"
"135","Alex Smith","WAS","QB","137.9","10","13.8"
"136","Tyrell Williams","LAC","WR","137.8","16","8.6"
"137","Joe Flacco","BAL","QB","137.0","9","15.2"
"138","Mike Davis","SEA","RB","136.8","15","9.1"
"138","Curtis Samuel","CAR","WR","136.8","13","10.5"
"140","Courtland Sutton","DEN","WR","136.3","16","8.5"
"141","Cooper Kupp","LAR","WR","135.1","8","16.9"
"142","Kenny Stills","MIA","WR","134.4","15","9.0"
"142","Willie Snead IV","BAL","WR","134.4","16","8.4"
"144","Vance McDonald","PIT","TE","133.0","15","8.9"
"145","Michael Crabtree","BAL","WR","132.7","16","8.3"
"146","Antonio Callaway","CLE","WR","132.3","16","8.3"
"147","Duke Johnson Jr.","CLE","RB","132.0","16","8.3"
"148","Latavius Murray","MIN","RB","131.9","16","8.2"
"149","Rob Gronkowski","NE","TE","131.2","13","10.1"
"150","New England Patriots","NE","DST","131.0","16","8.2"
"151","Donte Moncrief","JAC","WR","130.8","16","8.2"
"152","Jimmy Graham","GB","TE","130.6","16","8.2"
"153","Matt Prater","DET","K","129.3","16","8.1"
"154","Greg Zuerlein","LAR","K","128.0","11","11.6"
"154","Sebastian Janikowski","SEA","K","128.0","16","8.0"
"156","Danny Amendola","MIA","WR","127.4","15","8.5"
"157","LeSean McCoy","BUF","RB","127.2","14","9.1"
"158","Evan Engram","NYG","TE","126.3","11","11.5"
"159","Adam Vinatieri","IND","K","126.0","16","7.9"
"159","Denver Broncos","DEN","DST","126.0","16","7.9"
"159","Baltimore Ravens","BAL","DST","126.0","16","7.9"
"162","Minnesota Vikings","MIN","DST","125.0","16","7.8"
"162","Kansas City Chiefs","KC","DST","125.0","16","7.8"
"164","Nick Mullens","SF","QB","123.5","8","15.4"
"164","Christian Kirk","ARI","WR","123.5","12","10.3"
"166","Seattle Seahawks","SEA","DST","123.0","16","7.7"
"167","Devin Funchess","CAR","WR","122.9","14","8.8"
"168","Jake Elliott","PHI","K","122.0","16","7.6"
"168","Cody Parkey","CHI","K","122.0","16","7.6"
"170","Dustin Hopkins","WAS","K","121.0","16","7.6"
"171","O.J. Howard","TB","TE","120.5","10","12.1"
"172","Leonard Fournette","JAC","RB","120.4","8","15.1"
"173","Anthony Miller","CHI","WR","120.2","15","8.0"
"174","Washington Commanders","WAS","DST","120.0","16","7.5"
"175","Doug Martin","LV","RB","119.9","16","7.5"
"176","Jordan Reed","WAS","TE","119.8","13","9.2"
"177","Rashard Higgins","CLE","WR","118.2","13","9.1"
"178","Indianapolis Colts","IND","DST","118.0","16","7.4"
"179","Wendell Smallwood","PHI","RB","117.4","16","7.3"
"180","Chester Rogers","IND","WR","117.1","16","7.3"
"181","Ryan Succop","TEN","K","117.0","16","7.3"
"182","Theo Riddick","DET","RB","116.5","14","8.3"
"183","Marvin Jones Jr.","DET","WR","115.8","9","12.9"
"184","Sammy Watkins","KC","WR","115.1","10","11.5"
"185","Kendrick Bourne","SF","WR","114.7","16","7.2"
"186","Jamaal Williams","GB","RB","114.3","16","7.1"
"187","Chris Herndon IV","NYJ","TE","113.2","16","7.1"
"188","Josh Rosen","ARI","QB","113.0","14","8.1"
"189","Pittsburgh Steelers","PIT","DST","113.0","16","7.1"
"189","Tennessee Titans","TEN","DST","113.0","16","7.1"
"191","Marquez Valdes-Scantling","GB","WR","111.0","16","6.9"
"192","New Orleans Saints","NO","DST","110.0","16","6.9"
"193","Josh Doctson","WAS","WR","109.2","15","7.3"
"194","Jacksonville Jaguars","JAC","DST","109.0","16","6.8"
"194","Los Angeles Chargers","LAC","DST","109.0","16","6.8"
"196","Alex Collins","BAL","RB","108.6","10","10.9"
"197","Matt Bryant","ATL","K","108.0","13","8.3"
"198","Mark Andrews","BAL","TE","107.2","16","6.7"
"199","Buffalo Bills","BUF","DST","107.0","16","6.7"
"200","Seth Roberts","LV","WR","106.9","15","7.1"
"201","William Fuller V","HOU","WR","106.3","7","15.2"
"202","Chris Hogan","NE","WR","106.2","16","6.6"
"203","Randy Bullock","CIN","K","106.0","16","6.6"
"203","Miami Dolphins","MIA","DST","106.0","16","6.6"
"203","Stephen Hauschka","BUF","K","106.0","16","6.6"
"203","Brandon McManus","DEN","K","106.0","16","6.6"
"207","C.J. Uzomah","CIN","TE","104.9","16","6.6"
"208","Dante Pettis","SF","WR","103.5","12","8.6"
"209","Frank Gore","MIA","RB","102.6","14","7.3"
"210","Royce Freeman","DEN","RB","101.3","14","7.2"
"211","David Moore","SEA","WR","101.0","16","6.3"
"212","Arizona Cardinals","ARI","DST","101.0","16","6.3"
"213","Tre'Quan Smith","NO","WR","100.7","15","6.7"
"214","Josh Reynolds","LAR","WR","100.0","16","6.3"
"214","Detroit Lions","DET","DST","100.0","16","6.3"
"214","Cleveland Browns","CLE","DST","100.0","16","6.3"
"217","Robert Foster","Multi","WR","99.1","13","7.6"
"218","Dan Bailey","MIN","K","99.0","14","7.1"
"219","Damien Williams","KC","RB","98.6","16","6.2"
"220","Carlos Hyde","Multi","RB","98.4","14","7.0"
"221","Jason Sanders","MIA","K","98.0","16","6.1"
"221","Dallas Cowboys","DAL","DST","98.0","16","6.1"
"223","Ito Smith","ATL","RB","97.7","14","7.0"
"224","Michael Gallup","DAL","WR","97.7","16","6.1"
"225","Jarius Wright","CAR","WR","97.6","16","6.1"
"226","Alfred Blue","HOU","RB","97.3","16","6.1"
"227","Philadelphia Eagles","PHI","DST","97.0","16","6.1"
"228","Albert Wilson","MIA","WR","96.8","7","13.8"
"229","Giovani Bernard","CIN","RB","95.9","12","8.0"
"230","New York Jets","NYJ","DST","94.0","16","5.9"
"231","Javorius Allen","BAL","RB","93.6","14","6.7"
"232","Chris Boswell","PIT","K","93.1","15","6.2"
"233","Cameron Brate","TB","TE","92.9","16","5.8"
"234","Green Bay Packers","GB","DST","92.0","16","5.8"
"235","Chris Thompson","WAS","RB","91.6","10","9.2"
"236","Chris Conley","KC","WR","91.4","16","5.7"
"237","Cordarrelle Patterson","NE","RB","90.5","15","6.0"
"238","Dallas Goedert","PHI","TE","90.4","16","5.7"
"239","Carolina Panthers","CAR","DST","90.0","16","5.6"
"239","Daniel Carlson","Multi","K","90.0","12","7.5"
"241","Gus Edwards","BAL","RB","89.8","11","8.2"
"242","Jaylen Samuels","PIT","RB","89.5","14","6.4"
"243","Keelan Cole Sr.","JAC","WR","89.1","16","5.6"
"244","Devontae Booker","DEN","RB","87.8","16","5.5"
"245","Taywan Taylor","TEN","WR","87.6","13","6.7"
"246","Marquise Goodwin","SF","WR","87.4","11","8.0"
"247","Benjamin Watson","NO","TE","87.0","16","5.4"
"247","Josh Lambo","JAC","K","87.0","13","6.7"
"249","Quincy Enunwa","NYJ","WR","86.9","11","7.9"
"250","Gerald Everett","LAR","TE","86.6","16","5.4"
"251","LeGarrette Blount","DET","RB","86.5","16","5.4"
"252","Randall Cobb","GB","WR","86.3","9","9.6"
"253","Elijah McGuire","NYJ","RB","85.9","8","10.7"
"254","Jeff Driskel","CIN","QB","85.1","9","9.5"
"255","Cincinnati Bengals","CIN","DST","85.0","16","5.3"
"256","John Ross","CIN","WR","84.9","13","6.5"
"257","Jesse James","PIT","TE","84.3","16","5.3"
"258","New York Giants","NYG","DST","84.0","16","5.3"
"258","Chandler Catanzaro","Multi","K","84.0","13","6.5"
"260","Jacquizz Rodgers","TB","RB","83.0","16","5.2"
"260","Greg Joseph","CLE","K","83.0","14","5.9"
"262","Jamison Crowder","WAS","WR","82.8","9","9.2"
"263","Graham Gano","CAR","K","82.0","12","6.8"
"264","Phillip Dorsett II","NE","WR","81.9","16","5.1"
"264","Josh Adams","PHI","RB","81.9","16","5.1"
"266","Ian Thomas","CAR","TE","81.3","16","5.1"
"267","Corey Clement","PHI","RB","81.1","11","7.4"
"268","Greg Olsen","CAR","TE","80.1","9","8.9"
"268","Jermaine Kearse","NYJ","WR","80.1","14","5.7"
"270","Atlanta Falcons","ATL","DST","80.0","16","5.0"
"271","Marshawn Lynch","Multi","RB","79.0","6","13.2"
"271","Michael Badgley","LAC","K","79.0","10","7.9"
"271","Spencer Ware","KC","RB","79.0","13","6.1"
"274","Chris Ivory","BUF","RB","78.0","13","6.0"
"275","Dontrelle Inman","IND","WR","76.4","9","8.5"
"276","Nick Foles","PHI","QB","76.2","5","15.2"
"277","Vernon Davis","WAS","TE","75.7","14","5.4"
"277","Blake Jarwin","DAL","TE","75.7","16","4.7"
"279","Antonio Gates","LAC","TE","75.3","16","4.7"
"280","C.J. Beathard","SF","QB","75.0","6","12.5"
"281","Demarcus Robinson","KC","WR","74.8","16","4.7"
"282","Ryan Grant","IND","WR","74.4","14","5.3"
"283","Ricky Seals-Jones","ARI","TE","74.3","15","5.0"
"284","Nick Vannett","SEA","TE","73.9","15","4.9"
"285","Ty Montgomery","Multi","RB","71.3","13","5.5"
"286","Laquon Treadwell","MIN","WR","71.2","15","4.8"
"287","Tajae Sharpe","TEN","WR","71.2","16","4.5"
"288","Jeff Heuerman","DEN","TE","71.1","11","6.5"
"289","Rashaad Penny","SEA","RB","70.4","14","5.0"
"290","Aldrick Robinson","MIN","WR","70.1","14","5.0"
"291","Ryan Switzer","PIT","WR","69.4","16","4.3"
"292","Kelvin Benjamin","Multi","WR","69.0","15","4.6"
"293","Alfred Morris","SF","RB","68.1","12","5.7"
"294","Brock Osweiler","MIA","QB","68.0","7","9.7"
"294","Tampa Bay Buccaneers","TB","DST","68.0","16","4.3"
"296","C.J. Anderson","Multi","RB","67.4","11","6.1"
"297","Kyle Juszczyk","SF","RB","67.4","16","4.2"
"298","Cairo Santos","Multi","K","67.0","9","7.4"
"299","Zach Pascal","IND","WR","66.8","16","4.2"
"300","DaeSean Hamilton","DEN","WR","66.3","14","4.7"
"301","Jordan Thomas","HOU","TE","65.5","16","4.1"
"302","Tyler Higbee","LAR","TE","65.2","16","4.1"
"303","Jonnu Smith","TEN","TE","63.8","13","4.9"
"304","Chase Edmonds","ARI","RB","63.1","16","3.9"
"305","Keke Coutee","HOU","WR","62.7","6","10.5"
"306","Geronimo Allison","GB","WR","62.3","5","12.5"
"307","Breshad Perriman","Multi","WR","62.2","10","6.2"
"308","Jordan Matthews","PHI","WR","62.0","14","4.4"
"309","Kapri Bibbs","Multi","RB","61.8","12","5.2"
"310","Allen Hurns","DAL","WR","61.5","16","3.8"
"311","Justin Jackson","LAC","RB","61.1","13","4.7"
"312","Darren Sproles","PHI","RB","61.0","6","10.2"
"313","DeVante Parker","MIA","WR","60.9","11","5.5"
"314","Jaron Brown","SEA","WR","60.6","16","3.8"
"315","Jack Doyle","IND","TE","60.5","6","10.1"
"316","Jakeem Grant Sr.","MIA","WR","60.3","10","6.0"
"317","Bilal Powell","NYJ","RB","60.3","7","8.6"
"318","Tim Patrick","DEN","WR","60.2","16","3.8"
"318","Rhett Ellison","NYG","TE","60.2","14","4.3"
"320","Jordan Wilkins","IND","RB","60.1","16","3.8"
"321","Bruce Ellington","Multi","WR","59.6","7","8.5"
"322","Maurice Harris","WAS","WR","59.4","12","5.0"
"323","Paul Richardson Jr.","WAS","WR","59.1","7","8.4"
"324","Pierre Garcon","SF","WR","58.6","8","7.3"
"325","Zach Zenner","DET","RB","57.1","8","7.1"
"326","Geoff Swaim","DAL","TE","56.2","9","6.2"
"327","Trent Taylor","SF","WR","55.5","14","4.0"
"328","Matt LaCosse","DEN","TE","55.0","15","3.7"
"329","Ryan Griffin","HOU","TE","54.5","14","3.9"
"330","Kenneth Dixon","BAL","RB","54.4","6","9.1"
"331","Equanimeous St. Brown","GB","WR","54.3","12","4.5"
"332","Levine Toilolo","DET","TE","53.3","16","3.3"
"333","Terrelle Pryor Sr.","Multi","WR","53.1","8","6.6"
"334","Isaiah McKenzie","Multi","WR","52.5","8","6.6"
"334","Ted Ginn Jr.","NO","WR","52.5","5","10.5"
"336","San Francisco 49ers","SF","DST","52.0","16","3.3"
"337","T.J. Jones","DET","WR","50.0","15","3.3"
"337","Torrey Smith","CAR","WR","50.0","11","4.6"
"339","Jason Croom","BUF","TE","49.9","15","3.3"
"340","Rex Burkhead","NE","RB","49.7","8","6.2"
"341","Josh Johnson","WAS","QB","49.5","4","12.4"
"342","Trenton Cannon","NYJ","RB","48.7","16","3.0"
"343","Jimmy Garoppolo","SF","QB","47.9","3","16.0"
"344","Anthony Firkser","TEN","TE","47.5","12","4.0"
"345","Demetrius Harris","KC","TE","46.4","15","3.1"
"346","Chris Moore","BAL","WR","46.3","16","2.9"
"347","Virgil Green","LAC","TE","46.0","16","2.9"
"348","Trent Sherfield","ARI","WR","46.0","13","3.5"
"349","Martavis Bryant","Multi","WR","45.9","8","5.7"
"349","Keith Kirkwood","NO","WR","45.9","8","5.7"
"351","James O'Shaughnessy","JAC","TE","45.4","14","3.2"
"352","Ed Dickson","SEA","TE","45.2","10","4.5"
"353","Wayne Gallman Jr.","NYG","RB","44.5","15","3.0"
"354","Jeff Wilson Jr.","SF","RB","44.4","6","7.4"
"355","Nick Boyle","BAL","TE","44.3","16","2.8"
"356","James Washington","PIT","WR","43.7","14","3.1"
"357","Luke Stocker","TEN","TE","43.5","16","2.7"
"358","Jay Ajayi","PHI","RB","43.4","4","10.9"
"359","James Develin","NE","RB","42.9","16","2.7"
"360","DeAndre Carter","Multi","WR","42.3","14","3.0"
"361","Lance Kendricks","GB","TE","42.0","16","2.6"
"362","Bennie Fowler III","Multi","WR","41.9","10","4.2"
"363","Tyrod Taylor","CLE","QB","41.4","4","10.4"
"364","Zane Gonzalez","Multi","K","41.0","7","5.9"
"364","Chad Williams","ARI","WR","41.0","10","4.1"
"366","Russell Shepard","NYG","WR","40.8","12","3.4"
"367","Travis Benjamin","LAC","WR","40.7","12","3.4"
"368","Darren Fells","CLE","TE","40.7","16","2.5"
"369","Josh Hill","NO","TE","40.5","16","2.5"
"370","Mike Gesicki","MIA","TE","40.2","16","2.5"
"371","Las Vegas Raiders","LV","DST","40.0","16","2.5"
"372","Jordan Akins","HOU","TE","39.5","16","2.5"
"372","Tavon Austin","DAL","WR","39.5","7","5.6"
"374","Malcolm Brown","LAR","RB","39.4","12","3.3"
"375","Justin Hardy","ATL","WR","39.3","16","2.5"
"376","Caleb Sturgis","LAC","K","39.0","6","6.5"
"377","Tyler Eifert","CIN","TE","38.9","4","9.7"
"378","Marcus Murphy","BUF","RB","38.6","11","3.5"
"378","Raheem Mostert","SF","RB","38.6","9","4.3"
"378","Cody Kessler","JAC","QB","38.6","6","6.4"
"381","Kalen Ballage","MIA","RB","37.7","12","3.1"
"382","Brandon LaFell","Multi","WR","37.5","6","6.3"
"383","Charles Clay","BUF","TE","37.4","13","2.9"
"384","Maxx Williams","BAL","TE","37.1","13","2.9"
"385","Michael Roberts","DET","TE","37.0","8","4.6"
"385","Cody Core","CIN","WR","37.0","14","2.6"
"387","Alex Erickson","CIN","WR","36.9","16","2.3"
"388","Marcell Ateman","Multi","WR","36.4","7","5.2"
"389","Matt McCrane","Multi","K","36.0","5","7.2"
"389","Cody Latimer","NYG","WR","36.0","6","6.0"
"391","Will Dissly","SEA","TE","35.6","4","8.9"
"392","Hayden Hurst","BAL","TE","35.3","12","2.9"
"392","Lee Smith","LV","TE","35.3","16","2.2"
"394","Erik Swoope","IND","TE","34.7","7","5.0"
"395","Rod Smith","DAL","RB","33.7","16","2.1"
"395","Josh Bellamy","CHI","WR","33.7","16","2.1"
"397","Taysom Hill","NO","TE","33.6","16","2.1"
"398","Deonte Thompson","Multi","WR","33.1","13","2.6"
"399","Dan Arnold","NO","TE","33.0","10","3.3"
"399","Blaine Gabbert","TEN","QB","33.0","8","4.1"
"401","Mo Alie-Cox","IND","TE","32.3","9","3.6"
"402","Jordan Leggett","NYJ","TE","31.4","15","2.1"
"403","Phil Dawson","ARI","K","31.0","10","3.1"
"404","Marvin Hall","ATL","WR","30.9","16","1.9"
"405","Chase Daniel","CHI","QB","30.7","5","6.1"
"405","Austin Carr","NO","WR","30.7","14","2.2"
"407","Brandon Marshall","Multi","WR","30.6","7","4.4"
"408","Brandon Bolden","MIA","RB","29.4","16","1.8"
"408","D.J. Chark Jr.","JAC","WR","29.4","11","2.7"
"410","Andre Holmes","Multi","WR","29.2","15","2.0"
"411","Giorgio Tavecchio","ATL","K","29.0","3","9.7"
"412","Michael Floyd","WAS","WR","28.0","13","2.2"
"413","Damion Ratley","CLE","WR","27.4","13","2.1"
"414","Colt McCoy","WAS","QB","27.2","3","9.1"
"415","Kyle Allen","CAR","QB","26.5","2","13.3"
"416","Garrett Celek","SF","TE","26.0","15","1.7"
"416","Austin Seferian-Jenkins","JAC","TE","26.0","5","5.2"
"416","Richie James Jr.","SF","WR","26.0","13","2.0"
"416","Mike Nugent","Multi","K","26.0","3","8.7"
"420","Andy Janovich","DEN","RB","25.7","16","1.6"
"421","MyCole Pruitt","Multi","TE","25.2","15","1.7"
"422","Andy Jones","DET","WR","25.0","8","3.1"
"423","Cameron Meredith","NO","WR","24.4","6","4.1"
"424","Jake Kumerow","GB","WR","24.3","5","4.9"
"425","Deontay Burnett","NYJ","WR","24.3","5","4.9"
"425","Brandon Powell","DET","WR","24.3","6","4.1"
"427","Logan Paulsen","ATL","TE","24.1","15","1.6"
"428","Andre Roberts","NYJ","WR","23.9","16","1.5"
"429","Anthony Sherman","KC","RB","23.8","16","1.5"
"430","Dalton Schultz","DAL","TE","23.6","11","2.2"
"431","Scott Simonson","NYG","TE","23.6","16","1.5"
"432","Taquan Mizzell","CHI","RB","23.4","9","2.6"
"433","Nick O'Leary","MIA","TE","22.6","12","1.9"
"434","Zach Line","NO","RB","22.5","16","1.4"
"434","Trey Quinn","WAS","WR","22.5","3","7.5"
"436","Darius Jennings","TEN","WR","22.1","16","1.4"
"437","Marcus Johnson","IND","WR","22.0","5","4.4"
"438","Luke Willson","DET","TE","21.7","14","1.6"
"439","Eli Rogers","PIT","WR","21.5","3","7.2"
"440","Josh McCown","NYJ","QB","20.7","4","5.2"
"440","Ronald Jones II","TB","RB","20.7","9","2.3"
"442","Logan Thomas","BUF","TE","20.3","12","1.7"
"442","C.J. Ham","MIN","RB","20.3","15","1.4"
"444","Vyncint Smith","HOU","WR","20.1","7","2.9"
"445","Derek Carrier","LV","TE","19.7","16","1.2"
"445","Corey Grant","JAC","RB","19.7","5","3.9"
"447","Niles Paul","JAC","TE","19.5","6","3.3"
"448","Leonte Carroo","MIA","WR","18.8","9","2.1"
"449","Seth DeValve","CLE","TE","18.4","13","1.4"
"450","Brice Butler","Multi","WR","18.0","8","2.3"
"451","Adam Shaheen","CHI","TE","17.8","6","3.0"
"452","Robert Tonyan","GB","TE","17.7","16","1.1"
"453","Dontrell Hilliard","CLE","RB","17.5","11","1.6"
"454","Cameron Artis-Payne","CAR","RB","17.4","9","1.9"
"455","Matt Barkley","Multi","QB","17.1","1","17.1"
"456","Jake Butt","DEN","TE","16.5","3","5.5"
"457","Jermaine Gresham","ARI","TE","16.4","13","1.3"
"458","Cameron Batson","TEN","WR","16.3","11","1.5"
"459","Darrel Williams","KC","RB","16.1","6","2.7"
"460","Kai Forbath","JAC","K","16.0","3","5.3"
"461","Darren Waller","Multi","TE","15.6","4","3.9"
"462","Brian Hill","ATL","RB","15.6","10","1.6"
"463","Elijhaa Penny","Multi","RB","15.5","14","1.1"
"464","Dwayne Washington","NO","RB","15.4","13","1.2"
"465","Eric Tomlinson","NYJ","TE","15.2","15","1.0"
"466","Jeremy Sprinkle","WAS","TE","15.1","16","0.9"
"467","Alex Armah Jr.","CAR","RB","15.0","16","0.9"
"468","Stevan Ridley","PIT","RB","14.8","10","1.5"
"469","Blake Bell","JAC","TE","14.7","10","1.5"
"470","Devonta Freeman","ATL","RB","14.1","2","7.1"
"471","Tommylee Lewis","NO","WR","14.0","7","2.0"
"472","Taylor Heinicke","CAR","QB","13.9","6","2.3"
"473","A.J. Derby","MIA","TE","13.8","4","3.5"
"474","J.J. Nelson","ARI","WR","13.4","14","1.0"
